rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,DEMO34,Synthetic Company 34,NYSE,188.027818258356,0.106729,0.135208,0.245989,3.149357,0.150636,0.115746,0.0,89.662291,2026-08-21,66.374951,5110000000,1.0,1,DEMO34 raises outlook after strong growth,https://example.invalid/demo34,2026-08-19T23:41:39.672122+00:00,70.0,66.918708,Strong momentum,Idea candidate — deeper research required,COMPLETE,1.0
2,DEMO35,Synthetic Company 35,NASDAQ,152.92639470378447,0.096744,0.12642,0.239469,4.536845,0.137848,0.101381,0.0,76.412332,2026-08-21,66.098858,5255000000,1.0,1,DEMO35 raises outlook after strong growth,https://example.invalid/demo35,2026-08-19T22:41:39.672122+00:00,70.0,66.684029,Strong momentum,Idea candidate — deeper research required,COMPLETE,1.0
3,DEMO26,Synthetic Company 26,NYSE,101.3951474424552,0.096751,0.120405,0.229085,1.437601,0.139255,0.052688,0.0,88.558697,2026-08-21,61.883798,3950000000,1.0,1,DEMO26 raises outlook after strong growth,https://example.invalid/demo26,2026-08-20T07:41:39.672122+00:00,70.0,63.101229,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
4,DEMO25,Synthetic Company 25,NASDAQ,106.20157704544785,0.077986,0.094649,0.201904,1.738901,0.113822,0.081057,0.0,82.727642,2026-08-21,58.071137,3805000000,1.0,1,DEMO25 raises outlook after strong growth,https://example.invalid/demo25,2026-08-20T08:41:39.672122+00:00,70.0,59.860467,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
5,DEMO18,Synthetic Company 18,NYSE,64.2328889761328,0.089546,0.10133,0.246306,1.524607,0.139051,0.044898,0.0,79.119666,2026-08-21,60.465793,2790000000,-0.5,1,DEMO18 faces analyst downgrade,https://example.invalid/demo18,2026-08-20T15:41:39.672122+00:00,40.0,57.395924,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
6,DEMO08,Synthetic Company 08,NYSE,33.041884638278276,0.097328,0.058087,0.182199,0.550454,0.126738,0.034097,0.0,72.482834,2026-08-21,55.112284,1340000000,1.0,1,DEMO08 raises outlook after strong growth,https://example.invalid/demo08,2026-08-21T01:41:39.672122+00:00,70.0,57.345442,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
7,DEMO14,Synthetic Company 14,NYSE,59.58485114830706,0.038984,0.088743,0.216057,0.862052,0.12296,0.077746,0.0,95.931924,2026-08-21,54.95049,2210000000,1.0,1,DEMO14 raises outlook after strong growth,https://example.invalid/demo14,2026-08-20T19:41:39.678104+00:00,70.0,57.207916,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
8,DEMO09,Synthetic Company 09,NASDAQ,32.26528600042741,0.10273,0.137254,0.091457,1.956001,0.109653,0.002241,0.0,70.343234,2026-08-21,59.35461,1485000000,-0.5,1,DEMO09 faces analyst downgrade,https://example.invalid/demo09,2026-08-21T00:41:39.672122+00:00,40.0,56.451419,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
9,DEMO11,Synthetic Company 11,NASDAQ,42.28288870613533,0.023303,0.054654,0.144777,3.880865,0.097046,0.051489,0.0,91.542648,2026-08-21,53.400885,1775000000,1.0,1,DEMO11 raises outlook after strong growth,https://example.invalid/demo11,2026-08-20T22:41:39.678104+00:00,70.0,55.890752,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
10,DEMO13,Synthetic Company 13,NASDAQ,47.11073598368936,0.048858,0.075217,0.198036,0.851244,0.083056,0.097693,0.0,81.004032,2026-08-21,52.958177,2065000000,1.0,1,DEMO13 raises outlook after strong growth,https://example.invalid/demo13,2026-08-20T20:41:39.678104+00:00,70.0,55.51445,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
11,DEMO05,Synthetic Company 05,NASDAQ,20.469375712144384,0.052579,0.071393,0.166178,1.185111,0.083396,0.065196,0.0,74.701212,2026-08-21,52.442309,905000000,1.0,1,DEMO05 raises outlook after strong growth,https://example.invalid/demo05,2026-08-21T04:41:39.678104+00:00,70.0,55.075963,Positive momentum,Idea candidate — deeper research required,COMPLETE,1.0
