rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,PRTH,"Priority Technology Holdings, Inc. - Common Stock",NASDAQ,7.800000190734863,0.337907,0.298918,0.390374,14.234852,0.359655,-0.042551,0.0,87.275446,2026-09-21,79.843962,643283323.8,0.3,5,"Sector Update: Tech Stocks Gain Late Afternoon | Sector Update: Tech Stocks Gain Monday Afternoon | Lake Street Downgrades Priority Technology to Hold From Buy, $8.05 Price Target",https://finance.yahoo.com/markets/stocks/articles/sector-tech-stocks-gain-afternoon-195206814.html | https://finance.yahoo.com/markets/stocks/articles/sector-tech-stocks-gain-monday-175658801.html | https://finance.yahoo.com/markets/stocks/articles/lake-street-downgrades-priority-technology-172331768.html,2026-09-21T19:52:06+00:00,56.0,76.267368,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
2,GRAL,"GRAIL, Inc. - Common Stock",NASDAQ,107.97000122070312,0.336759,0.429498,0.35743,3.53274,0.343345,0.076286,0.0,85.308647,2026-09-21,79.783837,4847179713.679999,0.1,5,"Dow Jones Futures: Stocks Fall As Yields Soar, But Palantir Flashes Buy Signal; Trump-Xi On Tap | The Holy Grail In Cancer? FDA Panel Backs Blood Tests | FDA Advisory Committee Votes In Favor of Approval of GRAIL's Galleri® Multi-Cancer Early Detection Test",https://finance.yahoo.com/m/d54436eb-45f8-3808-b582-09ab7590f21b/dow-jones-futures%3A-stocks.html | https://finance.yahoo.com/m/6dc85a59-b648-3842-9f67-7d9c874d6375/the-holy-grail-in-cancer%3F-fda.html | https://finance.yahoo.com/healthcare/articles/fda-advisory-committee-votes-favor-221700555.html,2026-09-24T00:49:29+00:00,52.0,75.616262,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
3,INOD,Innodata Inc. - Common Stock,NASDAQ,69.97000122070312,0.14611,0.286923,0.224751,4.613271,0.236077,-0.056722,0.0,82.219423,2026-09-22,79.689399,2475207045.49,0.1,5,"Strength Seen in Innodata Inc (INOD): Can Its 14.6% Jump Turn into More Strength? | Innodata (INOD) Stock Looks Expensive Relative To Current Earnings | INOD Stock Rallies After Hunterbrook Ties Firm To Meta’s Muse, Reveals Long Position",https://finance.yahoo.com/markets/stocks/articles/strength-seen-innodata-inc-inod-153700356.html | https://finance.yahoo.com/markets/stocks/articles/innodata-inod-stock-looks-expensive-032039372.html | https://finance.yahoo.com/markets/stocks/articles/inod-stock-rallies-hunterbrook-ties-233930968.html,2026-09-23T15:37:00+00:00,52.0,75.53599,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
4,IBRX,"ImmunityBio, Inc. - Common Stock",NASDAQ,9.289999961853027,0.099408,0.141278,0.225594,2.030054,0.132858,0.053846,0.0,68.882983,2026-09-22,79.281704,9146387035.990002,0.0,5,"ImmunityBio (IBRX) Meeting With Turkish President Fuels Expansion Hopes, Shares Climb 10% | Dow Futures Slip While S&P 500, Nasdaq Futures Climb After AI Rally: GME, IBRX, AMD, PSKY Stocks In Focus | Could IBRX Be A Tokenized Stock? Founder’s Tease Sends ImmunityBio Traders Into Speculation Mode",https://finance.yahoo.com/healthcare/articles/immunitybio-ibrx-meeting-turkish-president-002653592.html | https://finance.yahoo.com/markets/stocks/articles/dow-futures-slip-while-p-024433977.html | https://finance.yahoo.com/markets/crypto/articles/could-ibrx-tokenized-stock-founder-064937966.html,2026-09-23T00:26:53+00:00,50.0,74.889448,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
5,TKNO,"Alpha Teknova, Inc. - Common Stock",NASDAQ,8.34000015258789,0.070603,0.222874,0.133152,2.28485,0.157008,0.116329,0.0,69.661027,2026-09-21,78.20227,479436036.78,0.3,5,"Alpha Teknova (TKNO) Moves 7.1% Higher: Will This Strength Last? | Jefferies & Co. Initiates Alpha Teknova With Buy Rating, $9 Price Target | Teknova Expands Custom Manufacturing with Fill-Tek™ Dispensing System for Flexible Single-Use Bag Filling",https://finance.yahoo.com/markets/stocks/articles/alpha-teknova-tkno-moves-7-125300864.html | https://finance.yahoo.com/markets/stocks/articles/jefferies-co-initiates-alpha-teknova-114018331.html | https://finance.yahoo.com/healthcare/articles/teknova-expands-custom-manufacturing-fill-213000901.html,2026-09-22T12:53:00+00:00,56.0,74.871929,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
6,DOCN,"DigitalOcean Holdings, Inc. Common Stock",NYSE,146.16000366210938,0.123098,0.215872,0.263923,1.648347,0.216581,-0.018201,0.0,71.515228,2026-09-21,78.050164,16603408255.5,0.3,5,"CoreWeave's Strong Growth Offsets Credit Concerns, UBS Says | DigitalOcean Launches Public Preview of Managed Agents for AI Development | DigitalOcean Launches Managed Agents, Bringing Agent Execution, Tool Access, and Inference Together on One Cloud",https://finance.yahoo.com/technology/ai/articles/coreweave-apos-strong-growth-offsets-170920707.html | https://finance.yahoo.com/technology/ai/articles/digitalocean-launches-public-preview-managed-190440794.html | https://finance.yahoo.com/technology/ai/articles/digitalocean-launches-managed-agents-bringing-150000790.html,2026-09-23T17:09:20+00:00,56.0,74.74264,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
7,GME,GameStop Corporation Common Stock,NYSE,24.030000686645508,0.0558,0.120802,0.33204,1.741071,0.188751,0.0034,0.0,90.030658,2026-09-22,79.0123,12208923958.0,0.0,5,"GameStop Still Wants eBay, and Its CEO Is Betting Big on Himself | Robinhood Has Quietly Become a Real Business. Does HOOD Stock Have Room to Run? | Sandisk, Lennar, Viking Therapeutics, Shopify, GameStop, and More Stocks That Explain Today’s Market",https://finance.yahoo.com/markets/stocks/articles/gamestop-still-wants-ebay-ceo-194709651.html | https://finance.yahoo.com/markets/stocks/articles/robinhood-quietly-become-real-business-211115818.html | https://finance.yahoo.com/m/18d3b8f2-8dd8-346a-8f40-e32a180cc1b3/sandisk%2C-lennar%2C-viking.html,2026-09-23T19:47:09+00:00,50.0,74.660455,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
8,VKTX,"Viking Therapeutics, Inc. - Common Stock",NASDAQ,40.849998474121094,0.356692,0.36394,0.229311,10.034489,0.248911,-0.033265,0.0,68.620338,2026-09-22,79.273675,4858594826.05,-0.1,5,"VKTX Stock Slides After-Hours On $400M Stock-And-Notes Raise After Tuesday’s Rally | Viking Therapeutics, Inc. (VKTX) Gains As Market Dips: What You Should Know | Viking Therapeutics Plans Offering of Common Shares, Senior Notes due 2032",https://finance.yahoo.com/healthcare/articles/vktx-stock-slides-hours-400m-225610342.html | https://finance.yahoo.com/markets/stocks/articles/viking-therapeutics-inc-vktx-gains-215006002.html | https://finance.yahoo.com/healthcare/articles/viking-therapeutics-plans-offering-common-211922185.html,2026-09-23T22:56:10+00:00,48.0,74.582623,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
9,RSKD,Riskified Ltd. Class A Ordinary Shares,NYSE,7.010000228881836,0.103937,0.130645,0.178151,3.071241,0.115443,0.081223,0.0,62.732923,2026-09-22,79.093696,942749420.76,-0.1,5,"Riskified (RSKD) Stock Jumps 10.4%: Will It Continue to Soar? | Strength Seen in Exodus Movement, Inc. (EXOD): Can Its 6.7% Jump Turn into More Strength? | Riskified Brings Identity Risk Intelligence to Zendesk, Helping Retailers Stop Returns Fraud Without Sacrificing Customer Experience",https://finance.yahoo.com/markets/stocks/articles/riskified-rskd-stock-jumps-10-175800513.html | https://finance.yahoo.com/markets/stocks/articles/strength-seen-exodus-movement-inc-092200222.html | https://finance.yahoo.com/technology/ai/articles/riskified-brings-identity-risk-intelligence-120000751.html,2026-09-23T17:58:00+00:00,48.0,74.429641,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
10,TWLO,Twilio Inc. Class A Common Stock,NYSE,266.05999755859375,0.091125,0.147404,0.180914,1.643827,0.132351,0.060932,0.0,65.80122,2026-09-21,77.856175,44644316454.0,0.2,5,Why Twilio (TWLO) Is Up 21.7% After Strong Q2 And Higher 2026 AI-Driven Growth Outlook | Why the Market Dipped But Twilio (TWLO) Gained Today | These 2 Stocks Are Bucking The Broader Market Selloff To Hit New Multi-Year Highs — Here’s What’s Driving The Enthusiasm,https://finance.yahoo.com/markets/stocks/articles/why-twilio-twlo-21-7-001348057.html | https://finance.yahoo.com/markets/stocks/articles/why-market-dipped-twilio-twlo-220007586.html | https://finance.yahoo.com/markets/stocks/articles/2-stocks-bucking-broader-market-175447666.html,2026-09-24T00:13:48+00:00,54.0,74.277748,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998158379373849
