rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,PURR,Hyperliquid Strategies Inc - Common Stock,NASDAQ,10.079999923706055,0.073482,0.478006,0.548387,3.846399,0.459812,-0.088786,0.0,89.249489,2026-08-20,79.564566,2021681989.9782047,0.3,5,"HYPE Nears Record High, PURR Stock Adds To Its Biggest Single-Day Gain After Trump Signals US Path For Hyperliquid Exchange | Crypto Stocks Continue to Surge After Upbeat White House Meeting | CRWV Stock On Track For Third Straight Day In The Red Despite New Hudson River Trading Deal",https://finance.yahoo.com/m/59c11bca-2553-38e7-8abf-3673c9e5d9d8/hype-nears-record-high%2C-purr.html | https://finance.yahoo.com/m/b576cb42-ee23-3297-ae52-068cb0c7868c/crypto-stocks-continue-to.html | https://finance.yahoo.com/m/e440cf0b-65bf-3cfe-8e8d-43ee18a9ffd9/crwv-stock-on-track-for-third.html,2026-08-20T16:14:00+00:00,56.0,76.029881,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
2,IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",NASDAQ,8.989999771118164,0.125156,0.378834,0.752437,2.228167,0.527353,0.188227,0.0,94.40434,2026-08-20,79.722392,4072213070.003067,0.2,5,"IOVA Stock Hits Fresh 52-Week Peak On UBS Target Hike, Melanoma Sector Optimism | Why Did IOVA, AMLX And COP Stocks Surge To 52-Week Highs Today? | IOVA Stock Hits New 52-Week High As Shares Jump 14% — What Drove The Rally?",https://finance.yahoo.com/m/ecb99db2-8399-3e79-a803-026321a5981d/iova-stock-hits-fresh-52-week.html | https://finance.yahoo.com/m/2af83389-942a-376d-9d6a-d78cd6a80336/why-did-iova%2C-amlx-and-cop.html | https://finance.yahoo.com/m/ec8d2f2c-806f-33f1-926f-9541afae9f73/iova-stock-hits-new-52-week.html,2026-08-21T03:57:42+00:00,54.0,75.864034,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
3,YDES,YD Bio Limited - Ordinary Shares,NASDAQ,4.785999774932861,0.070694,0.906773,1.346078,2.243151,0.742613,0.071961,0.0,89.232153,2026-08-20,79.564035,338998806.0141916,0.1,5,YD Bio Launches a Physician-Partnership Initiative in Taiwan with the Announcement of Two Nutraceutical Products in Collaboration with the Taiwan Chronic Disease Healthcare Association and the Future Health Institute | YD Bio Highlights Peer-Reviewed Publication on New Computational Framework for Keratoconus Research | YD Bio Launches Cross-Border Cancer Testing Pilot with Numia Health to Evaluate Expanded Access to Molecular Diagnostics in Canada,https://finance.yahoo.com/healthcare/articles/yd-bio-launches-physician-partnership-120000885.html | https://finance.yahoo.com/healthcare/articles/yd-bio-highlights-peer-reviewed-120000901.html | https://finance.yahoo.com/healthcare/articles/yd-bio-launches-cross-border-120000068.html,2026-08-11T12:00:00+00:00,52.0,75.42943,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
4,AU,AngloGold Ashanti PLC Ordinary Shares,NYSE,115.13999938964844,0.060807,0.211108,0.468248,1.892306,0.265727,0.060625,0.0,88.057794,2026-08-20,79.52808,58234271827.142944,0.1,5,New Strong Sell Stocks for August 21st | Brokers Suggest Investing in AngloGold Ashanti (AU): Read This Before Placing a Bet | New Strong Sell Stocks for August 18th,https://finance.yahoo.com/markets/stocks/articles/strong-sell-stocks-august-21st-074200414.html | https://finance.yahoo.com/markets/stocks/articles/brokers-suggest-investing-anglogold-ashanti-133002723.html | https://finance.yahoo.com/markets/stocks/articles/strong-sell-stocks-august-18th-122000444.html,2026-08-21T07:42:00+00:00,52.0,75.398868,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
5,PSNL,"Personalis, Inc. - Common Stock",NASDAQ,16.8799991607666,0.067679,0.170596,0.381342,4.265662,0.243829,0.042287,0.0,79.224375,2026-08-20,79.257626,1801954781.6910954,0.1,5,"TEM Stock On Track For Best Week In 4 Months Following Personalis Deal Spotlight | Moderna’s Cancer Breakthrough Just Made Tempus AI’s $1.5 Billion Bet Look Brilliant | TEM, BNTX, MRVI, RGEN, NVAX Stock Rallies As Moderna-Merck Cancer Vaccine Clears Late-stage Trial",https://finance.yahoo.com/m/459b93f6-d375-3f79-bdd4-e6e91e4dbf98/tem-stock-on-track-for-best.html | https://finance.yahoo.com/m/00b4e58d-0c91-35dc-b749-1bf793a6750c/moderna%E2%80%99s-cancer-breakthrough.html | https://finance.yahoo.com/m/c2b5a922-feb9-3561-a7f2-d4ec3c8c3041/tem%2C-bntx%2C-mrvi%2C-rgen%2C-nvax.html,2026-08-20T17:22:12+00:00,52.0,75.168982,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
6,CARL,"Carlsmed, Inc. - Common Stock",NASDAQ,16.5,0.063144,0.179414,0.5,2.57278,0.221318,0.10935,0.0,87.668602,2026-08-20,79.516164,450495259.5,0.0,5,Carlsberg (CPSE:CARL B) Stock Fair Value Edges Higher After Analyst Recalibration | Barchart's cmdtyView AI Assistant Carl Named 2026 AgTech Innovation of the Year | Dog clinging to cliff's edge for 17 hours rescued by local Tennessee fire crew,https://finance.yahoo.com/markets/stocks/articles/carlsberg-cpse-carl-b-stock-221012044.html | https://finance.yahoo.com/markets/commodities/articles/barcharts-cmdtyview-ai-assistant-carl-130000910.html | https://finance.yahoo.com/m/1d3a8ab1-c2d3-3f9e-b5e5-9fa674a6d25f/dog-clinging-to-cliff%27s-edge.html,2026-08-20T22:10:12+00:00,50.0,75.088739,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
7,ASST,"Strive, Inc. - Class A Common Stock",NASDAQ,16.1299991607666,0.095044,0.282194,0.33416,2.931295,0.288159,-0.02581,0.0,85.006984,2026-08-20,79.434673,1387778721.7847729,0.0,5,"MSTR, BMNR, COIN, CRCL Stock Extend Rally After Bitcoin Blasts Past $71K, Triggering $3B Liquidation Wave | Why Are Nasdaq, S&P 500 Futures Falling Premarket? NVDA, SKHY, SPCX, TSLA, MRNA, MSTR, PURR, WMT Stocks In Focus | Bitcoin DAT Strive’s Board Director Pierre Rochard Buys ASST Stocks as SATA Nears Par Value",https://finance.yahoo.com/m/0ee59ae4-aba8-3fb1-a195-bfafaabe037e/mstr%2C-bmnr%2C-coin%2C-crcl-stock.html | https://finance.yahoo.com/m/31b5cb8e-ec49-3b66-814e-9fd911a63820/why-are-nasdaq%2C-s%26p-500.html | https://finance.yahoo.com/m/faa885cb-0515-3811-9f58-843ccc85c853/bitcoin-dat-strive%E2%80%99s-board.html,2026-08-20T10:08:06+00:00,50.0,75.019472,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
8,CRCL,"Circle Internet Group, Inc. Class A Common Stock",NYSE,83.66000366210938,0.064512,0.109844,0.345449,1.82259,0.2281,-0.016946,0.0,77.091387,2026-08-20,78.981327,21239257134.181244,0.1,5,XRP’s Cross-Border Battle Heats Up as HSBC and Standard Chartered Go Live With Tokenized Deposits on SWIFT Ledger | Crypto stocks continue rallying as Bitcoin extends gains on regulation push | Bitcoin surges above $75k as Trump spurs U.S. regulatory hopes,https://finance.yahoo.com/m/288d5a40-49dd-3c48-80ee-2bb58c9c25c8/xrp%E2%80%99s-cross-border-battle.html | https://finance.yahoo.com/markets/crypto/articles/crypto-stocks-continue-rallying-bitcoin-093730958.html | https://finance.yahoo.com/markets/crypto/articles/bitcoin-tests-75k-trump-spurs-044446822.html,2026-08-21T09:37:30+00:00,52.0,74.934128,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
9,TEM,"Tempus AI, Inc. - Class A Common Stock",NASDAQ,66.6500015258789,0.088163,0.227666,0.448598,3.150664,0.337239,-0.045112,0.0,80.536197,2026-08-20,79.29779,12025976762.721588,0.0,5,"TEM Stock On Track For Best Week In 4 Months Following Personalis Deal Spotlight | Tempus AI Insider Sold Shares Worth $2,038,723, According to a Recent SEC Filing | Tempus AI Insider Sold Shares Worth $6,577,840, According to a Recent SEC Filing",https://finance.yahoo.com/m/459b93f6-d375-3f79-bdd4-e6e91e4dbf98/tem-stock-on-track-for-best.html | https://finance.yahoo.com/markets/stocks/articles/tempus-ai-insider-sold-shares-073915103.html | https://finance.yahoo.com/markets/stocks/articles/tempus-ai-insider-sold-shares-073803410.html,2026-08-21T07:39:15+00:00,50.0,74.903122,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
10,PRLD,Prelude Therapeutics Incorporated - Common Stock,NASDAQ,6.5,0.124567,0.212687,0.653944,4.519394,0.297405,0.070376,0.0,79.687499,2026-08-20,79.271806,517694495.5,0.0,5,"Sellas’ Experimental Drug SLS009 Appears To Be Leading The CDK9 Race, Says Alliance Global – Analyst Sees About 200% Upside Potential | Prelude Therapeutics Reports Second Quarter 2026 Financial Results and Provides Corporate Update | Wall Street Analysts See a 58.42% Upside in Prelude Therapeutics (PRLD): Can the Stock Really Move This High?",https://finance.yahoo.com/m/b0446184-18c0-3fb9-94bf-261fbb89c013/sellas%E2%80%99-experimental-drug.html | https://finance.yahoo.com/healthcare/articles/prelude-therapeutics-reports-second-quarter-110000136.html | https://finance.yahoo.com/markets/stocks/articles/wall-street-analysts-see-58-135504826.html,2026-08-12T16:07:21+00:00,50.0,74.881035,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314043494287
